title,phone,address,googlemap_address_url,region,city,discount_details
مجمع المنار الطبي (حي المطار),tel:هاتف :  0165329966,العنوان : مجمع المنار الطبي العنوان : حائل  - حي المطار - شارع الامام محمد ابن سعود,"https://www.google.com.sa/maps/place/27%C2%B030'38.9%22N+41%C2%B041'11.1%22E/@27.5107972,41.6885932,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d27.5107972!4d41.6864045?hl=ar",المنطقة  الشمالية,حائل,"{'*خصم  على جميع الكشوفات .': '50', '*خصم  على خدمات الجلدية والليزر  .': '15', '*خصمعلى تركيبات الاسنان .': ' 15 ', '*خصم  على خدمات التقويم .': '10', '*خصم  على جميع خدمات الاسنان .': '10', '*خصم على الادوية بالصيدلية .': ' 7', '*خصم  على مستحضرات التجميل .': '15', '*خصم 5% على العروض الخاصة .': '-'}"
بصريات بدر نجد (حي العزيزية),tel:0536815183,العنوان : رفحاء - حي العزيزية - شارع عبدالعزيز بن مساعد,https://www.google.com.sa/maps/place/29%C2%B037,المنطقة  الشمالية,رفحاء,"{'*خصم   على النظارات الطبية .': '40', '*خصم  على النظارات الشمسية .': '40', '*خصم  على العدسات الطبية بدون الاطارات .': '30'}"
مركز بدي تون الرياضي (ط. فهد العلي العريفي),tel:هاتف : 0581888897,العنوان : مركز بدي تون الرياضي العنوان : حائل - طريق فهد العلي العريفي,"https://www.google.com.sa/maps/place/27%C2%B027'33.6%22N+41%C2%B039'07.3%22E/@27.4593391,41.6498537,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d27.4593391!4d41.6520424?hl=en",المنطقة  الشمالية,حائل,"{'*الإشتراك لمدة شهر واحد': '250 ', '*الإشتراك لمدة ثلاثة أشهر': '550', '*الإشتراك لمدة ستة أشهر': '750 ', '*الإشتراك لمدة سنة': ' 1400', '*خصم  على خدمات المركز الصحي والتدليك .': '20', 'البرامج الخاصة : .': '-', 'تعليم السباحة للكبار والصغار (شهر )': ': 250', 'تعليم الكاراتيه للكبار والصغار (شهر ) :': '250 ', 'تعليم السباحة والكاراتيه للكبار والصغار (شهر ) :': '350'}"
مجمع رويال الطبي (حي النقرة),tel:هاتف :  0165658888,العنوان : مجمع رويال الطبي العنوان : حائل  -  حي النقره - شارع فهدالعريفي,"https://www.google.com.sa/maps/place/27%C2%B029'19.9%22N+41%C2%B040'40.7%22E/@27.4888611,41.6801609,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d27.4888696!4d41.677961?hl=ar",المنطقة  الشمالية,حائل,"{'*خصم  على جميع الكشوفات .': '50', '*خصم  على خدمات الجلدية والليزر  .': '15', '*خصم  على تركيبات الاسنان .': '15', '*خصم  على خدمات التقويم .': '10', '*خصم على جميع خدمات الاسنان .': '10 ', '*خصم  على الادوية بالصيدلية .': '7', '*خصم على مستحضرات التجميل .': ' 15'}"
مراكز المها للبصريات ( جميع الفروع ),tel:920033390,,,المنطقة  الشمالية,طريف,"{'1- فحص النظر مجاناً( لحاملي بطاقة تكافل العربية) .': ' ', '2- خصم  على الإطارات الطبية .': '30', '3- خصم   على النظارات الشمسية .': '30', '4- خصم   على العدسات اللاصقة الطبية والتجميلية .': '20', '5- خصم   على العدسات اللاصقة التوريك والطليبات الخاصة .': '10 ', '6- خصم   على العدسات اللاصقة الصلبة لعلاج القرنية المخروطية .': '10', '* ملاحظة : في حال وجود عروض تخفيضات خاصة بنظارات المها للبصريات فإنه يحق لحامل بطاقتنا إختيار العرض المناسب له.': ' ', '* ملاحظة : يحق لعميلنا الإستفادة من التأمين الخاص به أو من الخصم الخاص المقدم لبطاقة تكافل العربية ولا يحق له المطالبة بكليهما.': ' '}"
مجمع د. عبدالعزيزشيناوي لطب الأسنان ( خيبر ),"tel:0556465313,tel:0549515717,drazdent",العنوان : خيبر - شارع الملك عبد العزيز,https://www.google.com/maps/place/25°40'34.5,المنطقة الغربية,المدينة المنورة,"{'خصم على الكشف .': '50', 'خصم على جميع المعالجات': '25', 'خصم على تركيبات البورسلين': '40', 'خصم على تركيبات الزيركون و الايماكس': '25', 'خصم على السناب اون سمايل': '50', 'خصم على علاج العصب': '25', 'خصم على معالجات اللثة': '25', 'خصم على تقويم الاسنان': '30', 'خصم على الأشعة': '25', 'خصم على باقي خدمات المجمع': '20', '* يرجى ابراز بطاقة تكافل العربيه مع الهويه قبل اخذ الخدمه للاستفاده من الخصم .': ' ', 'الخصم لايشمل العروض الخاصة': ' ', '': ' '}"
مركز نادي لورد الرياضي (شارع المعارض),tel:0505447871,العنوان : طريف - شارع المعارض,"https://www.google.com.sa/maps/place/31%C2%B039'32.8%22N+38%C2%B038'20.4%22E/@31.6591176,38.6411944,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d31.6591176!4d38.6390057?hl=ar",المنطقة  الشمالية,طريف,"{'*خصم   على الاشتراك الشهري .': '20', '*خصم   على اللياقة البدنية .': '20', '*خصم  على جاكوزي .': '20', '*خصم   على المسبح .': '20', '*خصم  على الساونا والبخار .': '20', '*خصم   على صالة الحديد .': '20', '*خصم   على صالة الكارديور .': '20'}"
مراكز المها للبصريات ( جميع الفروع ),tel:الهاتف : 920033390,,,المنطقة  الشمالية,حائل,"{'1- فحص النظر مجاناً( لحاملي بطاقة تكافل العربية) .': '   ', '2- خصم  على الإطارات الطبية .': ' 30', '3- خصم  على النظارات الشمسية .': '30', '4- خصم على العدسات اللاصقة الطبية والتجميلية .': '20', '5- خصم  على العدسات اللاصقة التوريك والطليبات الخاصة .': '10 ', '6- خصم على العدسات اللاصقة الصلبة لعلاج القرنية المخروطية .': '10', '* ملاحظة : في حال وجود عروض تخفيضات خاصة بنظارات المها للبصريات فإنه يحق لحامل بطاقتنا إختيار العرض المناسب له.': '  ', '* ملاحظة : يحق لعميلنا الإستفادة من التأمين الخاص به أو من الخصم الخاص المقدم لبطاقة تكافل العربية ولا يحق له المطالبة بكليهما.': '    '}"
مركز باني الجسم الرياضي (حي اليرموك),tel:0506203760,العنوان : طريف - حي اليرموك - طريق ابو بكر الصديق,"https://www.google.com.sa/maps/place/31%C2%B040'44.3%22N+38%C2%B040'28.4%22E/@31.6789589,38.6767416,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d31.6789589!4d38.6745529?hl=ar",المنطقة  الشمالية,طريف,"{'*خصم  على الاشتراك الشامل .': '30', '*خصم  على اللياقة البدنية .': '30', '*خصم   على بناء اجسام .': '30', '*خصم   على المسبح .': '30', '*خصم   على الساونا والبخار .': '30'}"
صيدلية ميون الطبية (اللدام الجنوبي),tel:0532201817,العنوان : وادي الدواسر - اللدام الجنوبي خلف النقل الجماعي,https://www.google.com/maps/place/20°27'53.2,المنطقة الوسطى,وادي الدواسر,{'خصم على الادوية': '10'}
مختبرات البرج الطبية حائل (حي الملك عبد الله),"tel:هاتف:  0165661333,http://www.alborglaboratories.com",العنوان : مختبرات البرج الطبية العنوان :حائل - حي الملك عبد الله - شارع الخمسين متفرع من شارع الثلاثين,"https://www.google.com.sa/maps/place/27%C2%B030'04.2%22N+41%C2%B040'46.1%22E/@27.5011585,41.6969716,14z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d27.50116!4d41.679462",المنطقة  الشمالية,حائل,{'* خصم على جميع التحاليل الطبية ماعدا العروض الخاصة .': '40 '}
